Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,130.9199981689453,132.02999877929688,127.77999877929688,128.52000427246094,128.52000427246094,1028200
2021-01-05,128.83999633789062,131.39999389648438,128.35000610351562,130.74000549316406,130.74000549316406,1355900
2021-01-06,131.08999633789062,134.80999755859375,131.08999633789062,133.99000549316406,133.99000549316406,1110400
2021-01-07,135.0,136.4499969482422,134.0,135.91000366210938,135.91000366210938,913700
2021-01-08,136.5,137.17999267578125,133.9199981689453,135.36000061035156,135.36000061035156,967800
2021-01-11,133.27000427246094,135.89999389648438,132.6999969482422,135.67999267578125,135.67999267578125,814900
2021-01-12,135.75,136.2100067138672,134.4600067138672,134.94000244140625,134.94000244140625,742500
2021-01-13,134.72000122070312,135.05999755859375,133.74000549316406,134.4600067138672,134.4600067138672,810400
2021-01-14,135.0,135.25999450683594,133.66000366210938,133.83999633789062,133.83999633789062,803500
2021-01-15,133.16000366210938,133.57000732421875,130.9199981689453,131.74000549316406,131.74000549316406,1372000
2021-01-19,133.3300018310547,133.60000610351562,131.3300018310547,132.35000610351562,132.35000610351562,1076500
2021-01-20,133.8000030517578,134.36000061035156,133.0,133.9499969482422,133.9499969482422,840300
2021-01-21,134.33999633789062,135.8300018310547,132.9499969482422,133.10000610351562,133.10000610351562,1040100
2021-01-22,132.32000732421875,132.6699981689453,131.57000732421875,132.24000549316406,132.24000549316406,1554500
2021-01-25,132.55999755859375,133.1300048828125,130.39999389648438,132.82000732421875,132.82000732421875,1797600
2021-01-26,133.42999267578125,133.75999450683594,129.75,130.02000427246094,130.02000427246094,1602500
